,DGC,BTC,EVC
JimmyHerf,0.33333333333333337,0.2721645021645021,0.6595178032060593
FrancesHildebrand,0.08888888888888889,0.007426647426647426,0.1578685084824352
BobHildebrand,0.08888888888888889,0.005420875420875421,0.16529193120161612
EllenThatcher,0.33333333333333337,0.3502597402597403,0.4675238677147452
GeorgeBaldwin,0.13333333333333333,0.18628186628186627,0.052836584470394576
Soubrine,0.044444444444444446,0.0,0.03466246161171029
AnnaCohen,0.06666666666666667,0.03939393939393939,0.0059177871163340135
Elmer,0.022222222222222223,0.0,0.0009832137396258104
GladysGaston,0.022222222222222223,0.0,1.619888685302844e-06
PhineasBlackhead,0.06666666666666667,0.07777777777777778,4.387456570717234e-05
Francie,0.044444444444444446,0.011531986531986534,0.008297600667656552
DutchRobertson,0.044444444444444446,0.0023569023569023568,0.0040019650183923654
JessieLincoln,0.08888888888888889,0.03939393939393939,0.01141595841004988
Florence,0.022222222222222223,0.0,0.0003612727484468784
JackCunningham,0.08888888888888889,0.0006734006734006733,0.02485593877183467
JamesMerivale,0.15555555555555556,0.07512265512265512,0.12387398743987157
MaisieMerivale,0.06666666666666667,0.0,0.03593342492367201
CongoJake,0.13333333333333333,0.04505050505050504,0.37049644513910374
TonyHunter,0.022222222222222223,0.0,0.005933093237723304
NevadaJones,0.11111111111111112,0.054850889850889845,0.02921785022245095
JosephParker,0.022222222222222223,0.0,2.704413217815219e-90
AntonioCamerone,0.022222222222222223,0.0,2.704413217815219e-90
Buckminster,0.022222222222222223,0.0,0.029288502633610512
RoySheffield,0.08888888888888889,0.0011784511784511784,0.17426411253492854
AliceSheffield,0.13333333333333333,0.04508417508417508,0.26443143147833115
Densch,0.08888888888888889,0.1484848484848485,0.0023661745533919993
SerenaDensch,0.022222222222222223,0.0,0.00012480055101683844
MartinSchiff,0.06666666666666667,0.0,0.09762736083324422
JakeSilverman,0.044444444444444446,0.0,3.454008119434265e-48
RosieSilverman,0.044444444444444446,0.0,3.417927178916779e-48
MrRogers,0.044444444444444446,0.0,9.463506928274647e-49
MartinEmery,0.044444444444444446,0.0,0.028995819808412735
JohnOglethorpe,0.044444444444444446,0.0,0.05468283173577469
HesterVoorhees,0.044444444444444446,0.0,0.012676463133175242
CassandraWilkins,0.06666666666666667,0.000505050505050505,0.03291092911003261
RuthPrynne,0.044444444444444446,0.03939393939393939,0.03403130124321699
NellieMcNiel,0.044444444444444446,0.0,0.003363718257974352
GusMcNiel,0.13333333333333333,0.04707551707551707,0.01204703720382621
CynthiaBlackhead,0.022222222222222223,0.0,2.429833027954266e-06
EmilyMerivale,0.15555555555555556,0.0820923520923521,0.11259257082122298
Johnny,0.06666666666666667,0.0,0.017573934675170644
AnnetteCardinale,0.08888888888888889,0.005757575757575758,0.03402538905227537
MikeCardinale,0.08888888888888889,0.005757575757575758,0.056327213747684075
JoeOKeefe,0.11111111111111112,0.06908609908609908,0.0118905071242722
BillyDougan,0.044444444444444446,0.0,0.00031522758228886535
BillyWaldron,0.022222222222222223,0.0,0.0050259405907683566
