,DGC,BTC,EVC
JimmyHerf,0.2608695652173913,0.013175230566534912,8.565874909986443e-05
JeffersonMerivale,0.13043478260869565,0.0,2.0036538498605224e-05
JamesMerivale,0.13043478260869565,0.0,2.501430038547829e-05
LilyHerf,0.13043478260869565,0.0,6.656966168833492e-05
EmilyMerivale,0.2608695652173913,0.013175230566534912,4.429857833588612e-05
JohnOglethorpe,0.043478260869565216,0.0,5.962489582691637e-38
EllenThatcher,0.17391304347826086,0.035573122529644265,2.2221166006543363e-36
ErnestineRigaud,0.043478260869565216,0.0,0.25154284313578357
EmileLoustec,0.13043478260869565,0.007905138339920948,0.6590876649615253
CongoJake,0.08695652173913043,0.0,0.6297231369943245
EdThatcher,0.13043478260869565,0.01976284584980237,2.8159138267418097e-36
SusieThatcher,0.13043478260869565,0.01976284584980237,1.32119949069823e-36
MaisieMerivale,0.13043478260869565,0.0,4.6440025625744164e-05
JoeHarland,0.17391304347826086,0.0013175230566534913,9.860564357991082e-06
GeorgeBaldwin,0.21739130434782608,0.02569169960474308,1.8278329944367116e-21
NellieMcNiel,0.13043478260869565,0.001976284584980237,1.811617970241262e-21
GusMcNiel,0.08695652173913043,0.0,8.355197833756652e-22
PhilSandbourne,0.08695652173913043,0.0,3.3353109525720357e-22
Specker,0.08695652173913043,0.0,5.455050862197814e-23
MrEmery,0.08695652173913043,0.0,2.4821538030453637e-22
AliceVaughan,0.043478260869565216,0.0,8.347485415768292e-37
MarcoOlafson,0.08695652173913043,0.0,0.3252359169654671
RosieSilverman,0.043478260869565216,0.0,5.317657805440561e-38
MarcusAntoniusZucher,0.043478260869565216,0.0,1.8133899631848543e-36
